array_type	config	frequency	array_size	elapsed_time
random_seq	0x60	1.6GHz	90000	65536	40.466653
random_seq	0x60	1.6GHz	100000	2	4.751377
random_seq	0x60	1.6GHz	100000	4	4.193249
random_seq	0x60	1.6GHz	100000	8	3.225525
random_seq	0x60	1.6GHz	100000	16	2.543649
random_seq	0x60	1.6GHz	100000	32	2.114736
random_seq	0x60	1.6GHz	100000	64	1.864249
random_seq	0x60	1.6GHz	100000	128	1.672756
random_seq	0x60	1.6GHz	100000	256	1.559182
random_seq	0x60	1.6GHz	100000	512	1.572175
random_seq	0x60	1.6GHz	100000	1024	1.734966
random_seq	0x60	1.6GHz	100000	2048	2.07307
random_seq	0x60	1.6GHz	100000	4096	2.78291
random_seq	0x60	1.6GHz	100000	8192	5.555178
random_seq	0x60	1.6GHz	100000	16384	10.959021
random_seq	0x60	1.6GHz	100000	32768	19.292402
random_seq	0x60	1.6GHz	100000	65536	51.800959
random_seq	0x60	1.8GHz	10	2	0.01024
random_seq	0x60	1.8GHz	10	4	0.009588
random_seq	0x60	1.8GHz	10	8	0.011371
random_seq	0x60	1.8GHz	100	2	0.013492
random_seq	0x60	1.8GHz	100	4	0.013595
random_seq	0x60	1.8GHz	100	8	0.012606
random_seq	0x60	1.8GHz	100	16	0.011755
random_seq	0x60	1.8GHz	100	32	0.011143
random_seq	0x60	1.8GHz	100	64	0.010156
random_seq	0x60	1.8GHz	1000	2	0.045359
random_seq	0x60	1.8GHz	1000	4	0.040157
random_seq	0x60	1.8GHz	1000	8	0.031774
random_seq	0x60	1.8GHz	1000	16	0.025535
random_seq	0x60	1.8GHz	1000	32	0.020908
random_seq	0x60	1.8GHz	1000	64	0.018195
random_seq	0x60	1.8GHz	1000	128	0.017932
random_seq	0x60	1.8GHz	1000	256	0.016286
random_seq	0x60	1.8GHz	1000	512	0.017735
random_seq	0x60	1.8GHz	10000	2	0.404485
random_seq	0x60	1.8GHz	10000	4	0.35342
random_seq	0x60	1.8GHz	10000	8	0.260766
random_seq	0x60	1.8GHz	10000	16	0.194885
random_seq	0x60	1.8GHz	10000	32	0.158858
random_seq	0x60	1.8GHz	10000	64	0.129566
